,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,train_frac,model,mean_c
0,0.0,0.0,0.0,,0.05,regression_weibull,0.599
1,1.0,1.0,1.0,,0.05,deep_weibull,0.605
2,2.0,2.0,2.0,,0.05,deep_hit,0.55
3,3.0,3.0,3.0,,0.1,regression_weibull,0.621
4,4.0,4.0,4.0,,0.1,deep_weibull,0.626
5,5.0,5.0,5.0,,0.1,deep_hit,0.5760000000000001
6,6.0,6.0,6.0,,0.15000000000000002,regression_weibull,0.624
7,7.0,7.0,7.0,,0.15000000000000002,deep_weibull,0.626
8,8.0,8.0,8.0,,0.15000000000000002,deep_hit,0.5710000000000001
9,9.0,9.0,9.0,,0.2,regression_weibull,0.633
10,10.0,10.0,10.0,,0.2,deep_weibull,0.64
11,11.0,11.0,11.0,,0.2,deep_hit,0.595
12,12.0,12.0,,,0.25,regression_weibull,0.623
13,13.0,13.0,,,0.25,deep_weibull,0.633
14,14.0,14.0,,,0.25,deep_hit,0.596
15,15.0,15.0,,,0.3,regression_weibull,0.623
16,16.0,16.0,,,0.3,deep_weibull,0.639
17,17.0,17.0,,,0.3,deep_hit,0.612
18,18.0,18.0,,,0.35,regression_weibull,0.636
19,19.0,19.0,,,0.35,deep_weibull,0.6459999999999999
20,20.0,20.0,,,0.35,deep_hit,0.622
21,21.0,21.0,,,0.4,regression_weibull,0.632
22,22.0,22.0,,,0.4,deep_weibull,0.638
23,23.0,23.0,,,0.4,deep_hit,0.605
24,24.0,24.0,,,0.45,regression_weibull,0.628
25,25.0,25.0,,,0.45,deep_weibull,0.638
26,26.0,26.0,,,0.45,deep_hit,0.632
27,27.0,,,,0.5,regression_weibull,0.63
28,28.0,,,,0.5,deep_weibull,0.643
29,29.0,,,,0.5,deep_hit,0.62
30,30.0,,,,0.55,regression_weibull,0.632
31,31.0,,,,0.55,deep_weibull,0.648
32,32.0,,,,0.55,deep_hit,0.626
33,,,,,0.6,regression_weibull,0.619
34,,,,,0.6,deep_weibull,0.637
35,,,,,0.6,deep_hit,0.612
36,,,,,0.65,regression_weibull,0.628
37,,,,,0.65,deep_weibull,0.644
38,,,,,0.65,deep_hit,0.626
